entropy_10m,standard_deviation_10m,turbulence_intensity_10m,variability_index_10m,entropy_era5,standard_deviation_era5,turbulence_intensity_era5,variability_index_era5
0.736510146,0.306412939,0.094766888,0.371134021,0.668148938,0.432284396,0.125453218,0.442438633
0.574081432,0.469263608,0.139041069,0.562962963,0.61289909,0.581159244,0.161523933,0.538000881
0.75043272,0.669369521,0.190342044,0.682464455,0.613797397,0.719878849,0.191165181,0.592538256
0.668703992,0.798392482,0.213378837,0.668151448,0.461946992,0.813887036,0.206059662,0.597161549
0.433190975,0.918445244,0.231055407,0.65408805,0.303800233,0.88599722,0.214127188,0.604811263
0.237345099,0.968102382,0.234218318,0.629032258,0.265548288,0.937761827,0.217469698,0.590690473
0.157063089,0.981778432,0.23010432,0.609375,0.173915077,0.911071924,0.207753087,0.580829396
0.072192721,0.947218149,0.218588804,0.6,0.42540061,0.879123496,0.19401779,0.562141217
0.316168012,0.892678554,0.199481241,0.581005587,0.656474914,0.795088321,0.167986116,0.538160452
0.567001303,0.817856276,0.176515743,0.561151079,0.763562893,0.620684481,0.125612784,0.400833482
0.608694309,0.678847062,0.142915171,0.526315789,0.696959583,0.475526204,0.093198881,0.285148293
0.691733563,0.495745791,0.10100084,0.36672326,0.533366464,0.372367505,0.071358268,0.20910038
0.788740701,0.391578004,0.078315601,0.3,0.770469924,0.327403153,0.0615874,0.233641539
0.780362771,0.374444032,0.074516225,0.298507463,0.750229469,0.332592081,0.061701601,0.254308521
0.797642152,0.37859389,0.075718778,0.3,0.746049651,0.333762611,0.061553009,0.252806353
0.81091531,0.359010987,0.072284091,0.302013423,0.744753721,0.333931724,0.061592986,0.252842432
0.589272849,0.327871926,0.067602459,0.226804124,0.76077252,0.35095442,0.065216162,0.254730474
0.778719635,0.469041576,0.09979608,0.340425532,0.422195657,0.386539836,0.072715195,0.257873846
0.6578162,0.471036092,0.101845642,0.345945946,0.681711103,0.583273857,0.111289664,0.432731388
0.655884873,0.54025457,0.118088431,0.349726776,0.580594034,0.775246963,0.152121154,0.475352885
0.558989183,0.604784167,0.135652523,0.358878505,0.49528149,0.953475133,0.195035088,0.576175296
0.399339733,0.614184192,0.141734814,0.369230769,0.405961297,1.103060151,0.236822837,0.665644963
0.685169426,0.774731136,0.185564344,0.598802395,0.348538284,1.185192988,0.267505398,0.69978035
0.553666155,0.735413716,0.181583634,0.592592593,0.293203216,1.186558469,0.279959787,0.731517597
0.549294518,0.684754619,0.174090157,0.610169492,0.205761514,1.102521506,0.268420732,0.754826699
0.599346945,0.621098936,0.160975966,0.622030238,0.136661506,0.980068993,0.245948938,0.725069784
0.640041406,0.57130455,0.149686782,0.628820961,0.100637657,0.928237893,0.234971944,0.663969396
0.648697902,0.588960949,0.153976719,0.653594771,0.103037083,0.935419159,0.236507634,0.677477369
0.606810674,0.614410286,0.159587087,0.649350649,0.099975205,0.946053527,0.238652446,0.675936765
0.35534224,0.628932075,0.159897985,0.63559322,0.112461403,0.960179144,0.24127972,0.673324536
0.341838208,0.660965203,0.166280554,0.628930818,0.075457805,0.95385968,0.238567711,0.670167035
0.341838208,0.660965203,0.166280554,0.628930818,0.084286523,0.943167763,0.234662937,0.666670814
0.341692551,0.675102873,0.170552305,0.631578947,0.15509375,0.908100483,0.223644578,0.659903384
0.323853009,0.680073525,0.172170513,0.632911392,0.230236274,0.839727647,0.203851629,0.639331026
0.319397548,0.595818764,0.148954691,0.475,0.214645365,0.776104141,0.186280581,0.534822495
0.334178056,0.721639722,0.184641294,0.665245203,0.204817209,0.767832951,0.184000651,0.51477996
0.420596678,0.832124123,0.218500864,0.708971554,0.250097342,0.797959281,0.194059348,0.522423682
0.379316512,0.858414236,0.230446775,0.724832215,0.29725458,0.798178038,0.196218652,0.528091931
0.403777117,0.842079107,0.230181077,0.738041002,0.349754931,0.723345254,0.181783689,0.53985645
