ERA5 CF (raw),ERA5 CF (density adjusted),ERA5 CF (density and loss adjusted),MERRA2 CF (raw),MERRA2 CF (density adjusted),MERRA2 CF (density and loss adjusted),HRRR CF (raw),HRRR CF (density adjusted),HRRR CF (density and loss adjusted),Perform
0.0,0.0,0.0,5.008028103459927,4.705873672351926,4.376462515287302,0.0,0.0,0.0,2.1818384749999997
0.0,0.0,0.0,14.080118851981254,13.269723538602715,12.340842890900523,0.0,0.0,0.0,15.654036275000001
25.905776911676192,24.60659055391187,22.884129215138024,51.528678900160806,49.0101512601802,45.57944067196758,25.884486575536666,24.586358425387168,22.865313335610058,69.98940466666666
74.8200461773301,71.26269438397325,66.27430577709511,143.23032471622415,136.48857541592355,126.9343751368089,102.4520527792432,97.50763907418786,90.6821043389947,124.43452174999999
125.74235466690858,119.57271685740383,111.20262667738555,243.50720362289607,233.849178760088,218.3614991231858,229.20082129644652,218.09175101188887,202.82532844105666,150.71797666666666
179.314021512103,170.64180010706625,158.6968740995716,249.9,249.9,239.29204625360086,249.69750603648882,243.89648137142228,228.83155720776446,153.5600975
186.14648566594337,177.14739604031539,164.74707831749333,249.9,249.9,238.0097931174182,170.3933611921264,162.2967019779818,150.93593283952305,138.685435
156.91266023280315,149.50842993393127,139.04283983855606,249.9,249.9,236.35478651607747,147.5856318557104,140.54953011778196,130.7110630095372,118.99395483333332
128.830788686334,122.60592787886755,114.02351292734683,249.7754953923951,244.4304303524223,229.40220190116347,166.12918902381315,158.40777897614748,147.31923444781714,100.32889633333333
191.46233566403376,182.15758898288598,169.40655775408396,249.9,249.86355279634637,235.61855150348742,234.9108910195454,223.95136224573642,208.27476688853486,96.26028083333335
173.9209220760796,165.53976311226702,153.95197969440832,249.9,249.9,236.95971727756282,249.9,249.9,237.43837562383854,101.02809874999998
148.9933874684765,141.61780052223548,131.70455448567898,249.9,249.9,236.89510056228875,239.57058390341405,228.69781620043733,213.09323971057452,121.34277016666668
147.01624635233006,139.64395351317785,129.8688767672554,244.3086016379198,234.3524912880806,218.87867783572736,161.85123517859367,153.8508356459813,143.0812771507626,130.74407083333332
139.73828082132331,132.58837120636423,123.30718522191874,187.93356539506226,178.3649899644113,165.8794406669025,122.91672435792229,116.50905637068293,108.35342242473511,110.79786416666667
100.61611675205694,95.31865575733471,88.64634985432129,94.44549027441703,89.49608846810166,83.23136227533455,103.165105514988,97.72509470627439,90.88433807683516,62.677428499999984
40.4275885565139,37.86851189563061,35.217716062936475,49.85078957415778,46.7649271660454,43.491382264422235,53.5757188427233,50.29695616500961,46.77616923345894,6.643558700000001
17.913102899801192,16.5716939344552,15.411675359043334,72.65588272389861,67.89820641119235,63.14533196240888,,,,1.3194183916666666
14.571810628579325,13.267451574662202,12.338729964435862,65.16540899294316,60.408726244677624,56.1801154075502,25.71305496608098,23.719014574535557,22.05868355431806,3.391118116666666
13.880627792950557,12.5392408976238,11.66149403479013,49.561707855467965,45.5665762362532,42.37691589971549,17.020059694010325,15.503906298512515,14.41863285761666,0.49025418000000004
12.691231845596253,11.351282905481645,10.556693102097915,26.70856832064413,24.399361416542373,22.691406117384386,11.429866756014185,10.179295868822797,9.466745158005208,0.5951037791666668
11.355944541530965,10.046410502581935,9.343161767401206,5.539546471626042,4.916463675070229,4.572311217815309,10.248905704169653,9.03546398354502,8.402981504696875,0.063522225
0.0,0.0,0.0,0.0,0.0,0.0,5.070003508930407,4.506771636006987,4.191297621486511,0.0
0.0,0.0,0.0,13.32264520409114,11.915802877994151,11.081696676534557,0.0,0.0,0.0,0.8577548625000001
8.32403815425092,7.3633405699018315,6.847906730008704,57.25221369661066,52.48384350717369,48.80997446167153,0.0,0.0,0.0,10.700312991666665
35.96651518371095,32.967192836740104,30.659489338168296,104.52856221595806,96.35174203982619,89.60712009703838,8.32603016643677,7.406070491690642,6.887645557272291,45.423314
71.27447976306472,66.013144069369,61.39222398451316,128.77669365717753,119.20865962616078,110.86405345232953,29.354744362825144,27.02876412581448,25.13675063700745,92.64486008333334
87.66638689245984,81.50688605140766,75.80140402780913,142.3500992123787,132.44181323437556,123.17088630796927,59.34237771486776,55.07383507737323,51.218666621957105,129.34509841666667
86.0548337192391,80.18676823778398,74.57369446113908,145.80913686135105,135.99708016912896,126.47728455728993,78.50020592678429,73.16029352154551,68.03907297503731,107.44404908333333
94.84925682146876,88.52899975863605,82.33196977553152,136.26594812569508,127.25413124692676,118.34634205964187,145.44729436617226,135.94440790620325,126.42829935276902,136.76302374999997
101.8725636077211,95.254901546533,88.58705843827568,120.69484208960871,112.8418302983543,104.94290217746948,178.91597071012248,167.72850883237155,155.98751321410552,187.18298666666666
98.97502928022784,92.6602214300733,86.17400592996817,106.09602239560002,99.29867353656032,92.34776638900108,232.6041108996219,218.1334584837119,202.86411638985206,207.182695
85.32531050174586,80.024762041735,74.42302869881355,95.10808053656285,89.15589470105404,82.91498207198025,217.01817429644146,203.15712180017258,188.93612327416048,205.8267583333333
66.83112498605475,62.71804594494539,58.3277827287992,84.6746162955775,79.50292536396717,73.93772058848946,246.262995234049,234.8475254464587,219.38785649216442,197.49914250000003
84.95604069814976,79.93133217222123,74.33613892016575,67.92153603577366,63.88198249660288,59.410243721840665,227.16000373628953,213.57764802493526,198.62721266318977,160.10388666666668
48.47258431046468,45.5389213740579,42.35119687787384,51.71878589928729,48.619132925099244,45.21579362034229,187.32375239993596,176.74957536860444,164.3771050928021,85.65668449999998
17.622464852982194,16.50387228790283,15.348601227749626,38.052152853805765,35.780285487311694,33.27566550319987,111.7156234543383,105.44221730625202,98.06126209481437,51.47700275
11.332380517713869,10.515327285344096,9.779254375370005,21.444898928750874,20.2053316427573,18.790958427764295,105.6765011387287,99.9960534712167,92.9963297282315,40.338916833333336
6.664461042122838,6.1896794112102125,5.756401852425501,6.689335237977333,6.212371764365121,5.777505740859554,84.47658534833383,80.19666393611968,74.58289746059128,53.14271208333334
6.564585365797171,6.11928359410934,5.690933742521702,0.0,0.0,0.0,64.79223559251213,61.62529151309087,57.3115211071745,18.072329441666668
3.5292952397366517,3.100930442215679,2.8838653112605797,3.559738277615915,3.1361542462678695,2.9166234490291227,11.925306868167285,11.049605593619626,10.276133202066251,1.0457280949999999
3.6702284341219134,3.209083228594132,2.9844474025925476,0.0,0.0,0.0,9.926107132892401,9.06753638596961,8.43280883895174,0.055782674691666666
5.057403054716946,4.6002331420084115,4.278216822067816,0.0,0.0,0.0,9.494416861394908,8.579714321434539,7.979134318934117,0.013356900325000002
5.628020107901085,5.08734220555333,4.731228251164594,0.0,0.0,0.0,4.695331708895172,4.229787908225805,3.933702754649992,0.28924897791666665
5.78878779321861,5.198535124129589,4.834637665440532,0.0,0.0,0.0,5.598933787363248,5.031883639483429,4.679651784719584,1.3147632033333334
5.701083529635965,5.091519594383274,4.735113222776455,0.0,0.0,0.0,5.356230230037088,4.787994440072681,4.452834829267576,0.47159417499999995
8.6269467932329,7.635094203614541,7.100637609361516,0.0,0.0,0.0,0.0,0.0,0.0,0.08930249808333333
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2647777746916667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.7507830896005196,3.138294465321701,2.918613852749193,0.0,0.0,0.0,0.0,0.0,0.0,0.05275327758333332
19.21948017248674,17.489342664962923,16.265088678415513,0.0,0.0,0.0,14.510715441128596,13.061910739537396,12.147576987769769,0.004874600024999999
27.027480140454646,24.711270212012757,22.981481297171868,11.111517384480454,9.896380397331058,9.203633769517896,17.135534786864376,15.542999096673551,14.45498915990641,0.019206875283333338
27.842162090643946,25.493697778284442,23.70913893380453,24.899258977335265,22.796174605440026,21.2004423830592,40.843335885589276,37.3892687512119,34.77201993862706,0.24347719749999996
33.66998761003408,30.861652824400704,28.70133712669266,39.98073649183814,36.651095370017174,34.08551869411597,38.05149962402815,34.87720814257418,32.435803572594,2.410027618333333
37.00658462775472,33.96909430365231,31.591257702396657,53.77109994431026,49.512142750309415,46.04629275778775,66.72213317330888,61.609332286294666,57.296679026254054,8.966587975000001
35.81411134064246,32.88304873572553,30.58123532422473,62.43364109434574,57.621442352121704,53.58794138747319,78.22415939057682,72.3103855647959,67.24865857526018,9.162973458333333
28.732468700012138,26.400531142437732,24.552493962467093,61.42100110752792,56.68981128932512,52.721524499072345,57.14359165241515,52.69038714861246,49.00206004820957,11.838315041666668
17.03975608535518,15.544122847931751,14.456034248576533,45.51564375488943,41.85918134298643,38.9290386489774,20.082951039213775,18.40803278528593,17.119470490315912,13.005950333333333
11.720219377932908,10.535448921600318,9.797967497088294,29.1488702366638,26.797922609872806,24.92206802718172,11.258797264559238,10.106224724930016,9.398788994184923,13.537801875
8.322666783615704,7.431633533207712,6.911419185883169,18.11617506509118,16.571108512561214,15.411130916681923,11.08501318697165,9.949125884035595,9.252687072153098,10.265899375
13.380134847591716,12.100694962409538,11.253646315040877,15.441141657160493,14.047967984812193,13.064610225875343,10.88279031454473,9.765881928762346,9.082270193748972,8.007015583333335
